keys,en,de_DE
NUX_OTA_BLOCK_QUEST_TITLE_JA,Oculusアプリをダウンロード,
NUX_OTA_BLOCK_QUEST_TITLE_KO,Oculus 앱 다운로드,
NUX_OTA_BLOCK_QUEST_TITLE_PT,Descarregar a App Oculus,
NUX_OTA_BLOCK_QUEST_TITLE_RU,Скачайте приложение Oculus,
NUX_OTA_BLOCK_QUEST_TITLE_ZH_CN,下载 Oculus 应用,
NUX_OTA_BLOCK_QUEST_TITLE_ZH_TW,下載 Oculus 應用程式,
NUX_OTA_BLOCK_URL,www.oculus.com/app,
NUX_OTA_BLOCK_PREPARE_DESC,We are preparing your headset. Please take off your headset and follow the steps in the Oculus app on your phone.,
NUX_OTA_BLOCK_PREPARE_TITLE,Setting Up Your Headset,
en,English (US),
de-DE,Deutsch,
